ticker,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,pnl,exit_reason,win,rs
A,2025-01-07,2025-01-08,137.68,2025-01-13,137.22,1,-0.003341,Stop Loss,False,-6.018435807370981
A,2025-07-23,2025-07-24,119.43,2025-08-01,113.45,5,-0.050071,Stop Loss,False,-3.342961867435501
A,2025-09-30,2025-10-01,128.34,2025-10-03,139.0,1,0.083061,Profit Target,True,-1.3238726696288783
A,2025-11-21,2025-11-24,151.9,2025-11-26,155.74,1,0.02528,Stop Loss,True,18.19719173124461
AAPL,2025-11-21,2025-11-24,270.9,2025-12-10,277.75,10,0.025286,Time Exit,True,14.783693628929262
ABBV,2025-07-16,2025-07-17,189.0,2025-07-22,184.94,2,-0.021481,Stop Loss,False,-9.471463307360795
ABBV,2025-07-23,2025-07-24,190.76,2025-08-08,199.08,10,0.043615,Time Exit,True,-16.0636255799406
ABBV,2025-07-29,2025-07-30,191.77,2025-08-01,189.92,1,-0.009647,Stop Loss,False,-15.739189417287768
ABBV,2025-10-17,2025-10-20,231.0,2025-10-27,227.95,4,-0.013203,Stop Loss,False,16.365044318824662
ABBV,2025-12-03,2025-12-04,230.11,2025-12-08,226.08,1,-0.017513,Stop Loss,False,3.931181756722002
ABNB,2025-05-27,2025-05-28,129.45,2025-06-02,128.85,2,-0.004635,Stop Loss,False,-9.47812991166378
ABNB,2025-06-03,2025-06-04,132.28,2025-06-09,141.47,2,0.069474,Profit Target,True,-5.7669753181947
ABNB,2025-06-27,2025-06-30,135.06,2025-07-02,135.22,1,0.001185,Stop Loss,True,0.6178158606672035
ABNB,2025-07-01,2025-07-02,135.22,2025-07-18,139.99,10,0.035276,Time Exit,True,4.7156490948388585
ABT,2025-05-15,2025-05-16,133.15,2025-05-27,131.85,5,-0.009763,Stop Loss,False,3.3987094570509413
ABT,2025-05-27,2025-05-28,133.1,2025-06-12,135.54,10,0.018332,Time Exit,True,-6.456037786219271
ABT,2025-05-29,2025-05-30,132.88,2025-06-16,135.56,10,0.020169,Time Exit,True,-4.728001532879733
ABT,2025-06-24,2025-06-25,137.87,2025-06-27,133.29,1,-0.03322,Stop Loss,False,-3.6502753328968796
ABT,2025-09-16,2025-09-17,132.71,2025-10-02,132.42,10,-0.002185,Stop Loss,False,-10.347708778573972
ABT,2025-09-30,2025-10-01,134.8,2025-10-03,133.25,1,-0.011499,Stop Loss,False,-6.9545758646372136
ABT,2025-10-08,2025-10-09,134.58,2025-10-14,131.46,2,-0.023183,Stop Loss,False,-5.911728904819924
ACGL,2025-05-27,2025-05-28,94.45,2025-06-02,94.61,2,0.001694,Stop Loss,True,0.4996221463860806
ACGL,2025-09-30,2025-10-01,90.24,2025-10-16,88.34,10,-0.021055,Time Exit,False,-6.8130527430958265
ACN,2025-06-10,2025-06-11,320.92,2025-06-16,314.33,2,-0.020535,Stop Loss,False,-7.805809809317843
ACN,2025-11-12,2025-11-13,245.43,2025-11-19,240.0,3,-0.022124,Stop Loss,False,-10.434914440112319
ADBE,2025-03-07,2025-03-10,443.11,2025-03-12,436.69,1,-0.014488,Stop Loss,False,-13.225987649031412
ADI,2025-06-06,2025-06-09,223.82,2025-06-25,235.6,10,0.052632,Time Exit,True,0.40386902066924524
ADI,2025-09-18,2025-09-19,249.95,2025-09-26,248.71,4,-0.004961,Stop Loss,False,-2.9589905107934245
ADI,2025-09-24,2025-09-25,247.57,2025-10-02,242.13,4,-0.021974,Stop Loss,False,-3.722718377061862
ADM,2025-06-10,2025-06-11,48.89,2025-06-16,52.29,2,0.069544,Profit Target,True,-4.772357597285071
ADM,2025-07-16,2025-07-17,53.07,2025-08-01,54.15,10,0.020351,Time Exit,True,-9.182475207426233
ADM,2025-08-05,2025-08-06,58.24,2025-08-08,58.41,1,0.002919,Stop Loss,True,7.455575487781085
ADSK,2025-06-12,2025-06-13,294.09,2025-07-01,308.41,10,0.048693,Time Exit,True,4.825082225889488
ADSK,2025-06-16,2025-06-17,298.4,2025-07-03,312.18,10,0.04618,Time Exit,True,5.130563941655009
ADSK,2025-06-20,2025-06-23,297.82,2025-07-08,317.21,9,0.065106,Profit Target,True,5.068473115019967
ADSK,2025-07-24,2025-07-25,301.71,2025-08-04,299.25,5,-0.008153,Stop Loss,False,-4.112637570020783
ADSK,2025-10-06,2025-10-07,323.11,2025-10-09,310.5,1,-0.039027,Stop Loss,False,2.3145139074529864
ADSK,2025-10-24,2025-10-27,313.35,2025-10-30,295.25,2,-0.057763,Stop Loss,False,-3.5919652511500644
AEE,2025-09-12,2025-09-15,100.67,2025-09-17,99.17,1,-0.0149,Stop Loss,False,-3.2913680590558325
AEE,2025-10-27,2025-10-28,104.86,2025-10-30,102.64,1,-0.021171,Stop Loss,False,-7.065570810820532
AEE,2025-11-21,2025-11-24,104.41,2025-12-03,101.55,5,-0.027392,Stop Loss,False,2.5931927689595957
AEP,2025-03-07,2025-03-10,104.91,2025-03-13,102.81,2,-0.020017,Stop Loss,False,14.214282768181974
AEP,2025-08-19,2025-08-20,113.45,2025-09-02,110.96,7,-0.021948,Stop Loss,False,-0.9753761276514838
AEP,2025-11-24,2025-11-25,122.6,2025-12-03,119.23,4,-0.027488,Stop Loss,False,6.409766190267896
