ticker,signal_date,entry_date,entry_price,resistance_level,base_low,target_price,stop_price,exit_date,exit_price,exit_reason,days_held,pnl,win,risk_reward,volume_ratio,consolidation_length,base_range_pct,relative_strength,year
ADP,2020-12-18,2020-12-18,179.24,179.03,170.88,187.18,170.03,2021-01-04,170.03,Stop Loss,9,-0.051408,False,0.862,2.189,17,0.047694,20.919405518849832,2020
AKAM,2020-12-18,2020-12-18,107.08,106.13,101.13,111.13,100.62,2021-01-20,111.13,Profit Target,20,0.037822,True,0.627,2.025,19,0.049441,-16.243203884144897,2020
BAC,2020-12-21,2020-12-21,29.74,29.43,28.1,30.76,27.96,2021-01-06,30.76,Profit Target,10,0.034297,True,0.573,1.847,17,0.047331,13.378611714800215,2020
BR,2020-12-18,2020-12-18,153.88,150.92,144.57,157.27,143.85,2021-01-07,157.27,Profit Target,12,0.02203,True,0.338,2.282,19,0.043923,5.701219120074907,2020
DPZ,2020-12-17,2020-12-17,395.16,394.31,379.42,409.2,377.52,2021-01-04,377.52,Stop Loss,10,-0.044633,False,0.796,1.711,23,0.039244,-19.45551749276515,2020
DPZ,2020-12-18,2020-12-18,396.71,395.69,379.42,411.96,377.52,2021-01-04,377.52,Stop Loss,9,-0.048366,False,0.795,2.029,24,0.042881,-17.416386034563846,2020
GPN,2020-12-21,2020-12-21,200.42,200.35,191.27,209.43,190.31,2020-12-28,209.43,Profit Target,4,0.044956,True,0.892,2.769,18,0.047472,2.167282234090284,2020
JPM,2020-12-21,2020-12-21,123.55,123.5,117.77,129.23,117.18,2021-01-06,129.23,Profit Target,10,0.045973,True,0.892,2.174,18,0.048654,18.408673531122343,2020
YUM,2020-12-17,2020-12-17,108.79,108.64,103.77,113.51,103.25,2021-01-27,103.25,Stop Loss,26,-0.050913,False,0.852,1.824,20,0.046931,3.99887858693595,2020
YUM,2020-12-18,2020-12-18,109.78,108.88,103.77,113.99,103.25,2021-01-27,103.25,Stop Loss,25,-0.059472,False,0.645,2.759,21,0.049244,7.8307742469626795,2020
ABBV,2021-11-23,2021-11-23,118.88,118.37,113.57,123.17,113.0,2021-12-09,123.17,Profit Target,11,0.036087,True,0.73,1.617,16,0.042265,-5.255899066201319,2021
ABBV,2021-12-06,2021-12-06,121.35,119.33,115.01,123.65,114.43,2021-12-09,123.65,Profit Target,3,0.018953,True,0.333,1.781,23,0.037562,10.170603923260924,2021
ADM,2021-04-26,2021-04-26,59.98,59.94,57.32,62.56,57.03,2021-04-28,62.56,Profit Target,2,0.043014,True,0.876,1.885,15,0.045708,7.089803816113549,2021
ADM,2021-09-13,2021-09-13,61.15,60.73,58.44,63.02,58.15,2021-09-16,63.02,Profit Target,3,0.030581,True,0.623,1.552,16,0.039186,-6.822596017281679,2021
AVY,2021-08-25,2021-08-25,223.94,220.5,211.02,229.98,209.96,2021-09-20,209.96,Stop Loss,17,-0.062406,False,0.432,1.908,15,0.044925,-4.72083984240812,2021
BKNG,2021-09-22,2021-09-22,96.24,95.51,91.01,100.01,90.55,2021-09-24,100.01,Profit Target,2,0.039175,True,0.662,1.523,15,0.049491,8.393360132999383,2021
CASY,2021-09-02,2021-09-02,208.0,205.73,196.36,215.1,195.38,2021-09-08,195.38,Stop Loss,3,-0.060682,False,0.563,1.561,17,0.047718,-5.859794214967895,2021
CHD,2021-10-28,2021-10-28,85.29,85.12,81.28,88.96,80.87,2021-11-02,88.96,Profit Target,3,0.04303,True,0.831,2.221,15,0.047244,-1.9098340976117845,2021
CL,2021-07-16,2021-07-16,84.39,83.9,80.21,87.59,79.81,2021-07-30,79.81,Stop Loss,10,-0.054284,False,0.699,1.659,26,0.046004,-0.5047029873775477,2021
CMCSA,2021-08-31,2021-08-31,56.87,56.34,53.88,58.81,53.61,2021-09-14,53.61,Stop Loss,9,-0.057308,False,0.595,1.602,19,0.045747,0.5976694898600865,2021
CPT,2021-08-30,2021-08-30,148.79,147.74,141.7,153.78,140.99,2021-09-03,153.78,Profit Target,4,0.033537,True,0.64,1.644,15,0.042625,7.373780647259864,2021
CSCO,2021-08-19,2021-08-19,57.27,56.62,54.41,58.83,54.14,2021-08-24,58.83,Profit Target,3,0.027239,True,0.498,3.015,19,0.040618,3.279429709338766,2021
CSCO,2021-11-02,2021-11-02,57.62,56.72,54.07,59.37,53.8,2021-11-18,53.8,Stop Loss,12,-0.066302,False,0.458,1.61,18,0.049011,-0.7272822688933367,2021
CTAS,2021-05-07,2021-05-07,90.17,88.91,84.8,93.02,84.38,2021-06-22,93.02,Profit Target,31,0.031663,True,0.493,1.74,16,0.048466,-2.2894856301926003,2021
DHR,2021-01-05,2021-01-05,202.81,202.13,194.16,210.1,193.19,2021-01-06,210.1,Profit Target,1,0.035931,True,0.757,1.757,24,0.041048,-5.859004056916595,2021
DLR,2021-06-02,2021-06-02,154.76,153.37,146.12,160.62,145.39,2021-06-08,160.62,Profit Target,4,0.037865,True,0.625,1.527,19,0.049617,6.0044326495129585,2021
DUK,2021-05-10,2021-05-10,103.74,101.9,98.03,105.77,97.54,2021-05-17,105.77,Profit Target,5,0.019568,True,0.327,2.493,18,0.039478,9.054101821884753,2021
ECL,2021-09-08,2021-09-08,229.6,228.17,217.33,239.01,216.24,2021-09-20,216.24,Stop Loss,8,-0.058174,False,0.705,1.66,22,0.049878,0.604012411624022,2021
ED,2021-11-29,2021-11-29,80.35,79.89,76.42,83.36,76.04,2021-12-13,83.36,Profit Target,10,0.037461,True,0.698,1.525,15,0.045407,2.76538682577836,2021
EL,2021-06-24,2021-06-24,308.7,306.63,294.5,318.76,293.03,2021-06-30,318.76,Profit Target,4,0.032588,True,0.642,1.666,16,0.041188,-1.1219213519887639,2021
