ticker,has_signal_today,last_date,most_recent_signal_date,signals_in_lookback,relative_strength,rank
CB,True,2026-01-29,2026-01-29,8,9.294653564584433,1
BIIB,True,2026-01-29,2026-01-29,11,9.287193415663374,2
YUM,True,2026-01-29,2026-01-29,8,9.244770684181969,3
PSA,True,2026-01-29,2026-01-29,5,8.401665112528999,4
BK,True,2026-01-29,2026-01-29,8,5.722311275306002,5
EG,True,2026-01-29,2026-01-29,5,1.4617700507436049,6
STT,True,2026-01-29,2026-01-29,13,0.8767848454462546,7
SPG,True,2026-01-29,2026-01-29,13,0.2799733876658106,8
CPAY,True,2026-01-29,2026-01-29,8,0.0020743762878860927,9
RF,True,2026-01-29,2026-01-29,10,-2.3141699319301767,10
CPT,True,2026-01-29,2026-01-29,7,-5.020452742917492,11
