ticker,signal_date,entry_price,stop_price,target_price,high_52w,volume_ratio,exit_date,exit_price,exit_reason,days_held,pnl,win,risk_reward,relative_strength,year
DD,2020-12-31,29.99,29.39,34.49,29.85,1.763,2021-01-05,29.39,Stop Loss,1,-0.02,False,7.5,13.606947208811327,2020
A,2021-02-17,129.0,126.42,148.35,128.15,2.639,2021-02-22,126.42,Stop Loss,2,-0.02,False,7.5,10.054089082430817,2021
A,2021-04-16,134.38,131.69,154.54,133.28,3.026,2021-05-04,131.69,Stop Loss,11,-0.02,False,7.5,-2.6250872639577816,2021
A,2021-05-27,138.6,135.83,159.39,137.34,2.717,2021-06-01,135.83,Stop Loss,1,-0.02,False,7.5,8.304319518326796,2021
A,2021-06-17,146.31,143.38,168.26,144.62,1.938,2021-08-02,153.07,Time Exit,30,0.046203,True,7.5,12.692392548913212,2021
A,2021-06-18,145.42,142.51,167.23,146.92,2.089,2021-08-03,153.86,Time Exit,30,0.058039,True,7.5,12.486511467338723,2021
A,2021-06-25,147.63,144.68,169.77,147.24,5.382,2021-08-10,156.52,Time Exit,30,0.060218,True,7.5,8.851737535133463,2021
AAPL,2021-11-18,157.65,154.5,181.3,156.69,2.079,2021-12-13,181.3,Profit Target,15,0.15,True,7.5,1.7422266234598416,2021
AAPL,2021-11-30,167.48,164.13,192.6,161.94,2.295,2021-12-02,164.13,Stop Loss,1,-0.02,False,7.5,4.5867606008951345,2021
AAPL,2021-12-01,158.74,155.57,182.55,165.3,1.881,2022-01-03,182.55,Profit Target,21,0.15,True,7.5,6.318768692221743,2021
ABBV,2021-12-06,121.98,119.54,140.28,120.78,1.781,2022-01-20,133.03,Time Exit,30,0.090589,True,7.5,10.170603923260924,2021
ABBV,2021-12-17,128.51,125.94,147.79,131.78,1.917,2022-02-02,138.62,Time Exit,30,0.078671,True,7.5,17.38160876267092,2021
ABT,2021-01-27,117.91,115.55,135.6,114.73,2.074,2021-03-04,115.55,Stop Loss,24,-0.02,False,7.5,-5.926056368688659,2021
ABT,2021-01-28,120.25,117.84,138.29,114.73,2.381,2021-03-04,117.84,Stop Loss,23,-0.02,False,7.5,-2.3524860920299373,2021
ABT,2021-01-29,123.24,120.78,141.73,120.39,2.128,2021-02-02,120.78,Stop Loss,1,-0.02,False,7.5,2.675717207740691,2021
ABT,2021-09-17,125.6,123.09,144.44,129.06,2.466,2021-09-27,123.09,Stop Loss,5,-0.02,False,7.5,9.675015118708252,2021
ABT,2021-12-17,136.2,133.48,156.63,136.09,2.254,2021-12-21,133.48,Stop Loss,1,-0.02,False,7.5,6.64830451889924,2021
ACGL,2021-08-27,41.76,40.92,48.02,42.1,1.777,2021-09-01,40.92,Stop Loss,2,-0.02,False,7.5,-1.2199207835170478,2021
ACGL,2021-12-17,42.69,41.84,49.09,44.09,2.214,2022-02-02,47.94,Time Exit,30,0.12298,True,7.5,6.716064193483873,2021
ACN,2021-03-18,266.35,261.02,306.3,266.37,1.769,2021-05-03,292.17,Time Exit,30,0.09694,True,7.5,-4.328509536730785,2021
ACN,2021-03-19,263.15,257.89,302.62,266.89,1.833,2021-05-04,291.6,Time Exit,30,0.108113,True,7.5,-4.394913595337058,2021
ACN,2021-06-25,294.44,288.55,338.61,292.54,1.989,2021-08-10,320.18,Time Exit,30,0.08742,True,7.5,-0.6267675075334322,2021
ACN,2021-09-23,340.68,333.87,391.78,344.43,2.397,2021-09-27,333.87,Stop Loss,1,-0.02,False,7.5,12.821797360159625,2021
ACN,2021-12-16,396.36,388.43,455.81,379.44,2.491,2021-12-20,388.43,Stop Loss,1,-0.02,False,7.5,11.542311993105914,2021
ACN,2021-12-17,390.88,383.06,449.51,400.6,1.805,2022-01-06,383.06,Stop Loss,12,-0.02,False,7.5,13.210378959001545,2021
ADBE,2021-06-14,554.99,543.89,638.24,541.26,1.781,2021-06-16,543.89,Stop Loss,1,-0.02,False,7.5,16.962885926438396,2021
ADBE,2021-06-18,565.99,554.67,650.89,556.95,3.003,2021-08-03,621.28,Time Exit,30,0.097687,True,7.5,18.939126692948392,2021
ADBE,2021-09-17,646.04,633.12,742.95,666.59,2.331,2021-09-22,633.12,Stop Loss,2,-0.02,False,7.5,9.34652780642551,2021
ADBE,2021-11-19,696.28,682.35,800.72,674.08,1.786,2021-11-23,682.35,Stop Loss,1,-0.02,False,7.5,0.39296257883538743,2021
ADI,2021-01-08,156.13,153.01,179.55,155.61,1.945,2021-01-25,153.01,Stop Loss,9,-0.02,False,7.5,17.80995212272107,2021
ADI,2021-08-04,173.56,170.09,199.59,172.16,3.631,2021-08-06,170.09,Stop Loss,1,-0.02,False,7.5,8.432563375002422,2021
ADI,2021-08-23,169.84,166.44,195.32,172.58,3.969,2021-08-25,166.44,Stop Loss,1,-0.02,False,7.5,-3.4244431457706392,2021
ADI,2021-09-17,170.1,166.7,195.62,174.08,1.941,2021-10-01,166.7,Stop Loss,9,-0.02,False,7.5,-1.1523899591388664,2021
ADI,2021-11-04,183.75,180.07,211.31,180.52,1.755,2021-11-10,180.07,Stop Loss,3,-0.02,False,7.5,2.309586928495877,2021
ADI,2021-11-22,186.25,182.53,214.19,188.8,1.915,2021-11-24,182.53,Stop Loss,1,-0.02,False,7.5,7.699073123494515,2021
ADM,2021-03-05,57.77,56.61,66.44,58.48,2.692,2021-03-22,56.61,Stop Loss,10,-0.02,False,7.5,10.72046643867479,2021
ADM,2021-04-26,59.83,58.63,68.8,59.83,1.885,2021-06-04,68.8,Profit Target,27,0.15,True,7.5,7.089803816113549,2021
ADM,2021-04-27,62.3,61.05,71.64,59.98,2.222,2021-06-10,67.23,Time Exit,30,0.079133,True,7.5,11.489679230577398,2021
ADP,2021-05-27,197.62,193.67,227.26,197.04,3.333,2021-06-18,193.67,Stop Loss,14,-0.02,False,7.5,4.032213458418843,2021
AEE,2021-05-21,85.34,83.63,98.14,85.89,2.991,2021-05-25,83.63,Stop Loss,1,-0.02,False,7.5,12.027157468123528,2021
AEE,2021-08-20,89.48,87.69,102.9,89.98,1.929,2021-08-24,87.69,Stop Loss,1,-0.02,False,7.5,1.334762112453336,2021
AFL,2021-03-19,50.8,49.78,58.42,52.14,2.721,2021-03-23,49.78,Stop Loss,1,-0.02,False,7.5,12.837807046347027,2021
AFL,2021-05-27,57.01,55.87,65.56,56.53,2.105,2021-06-14,55.87,Stop Loss,10,-0.02,False,7.5,6.090612113737137,2021
AFL,2021-12-17,56.01,54.89,64.41,57.9,1.82,2022-02-02,63.69,Time Exit,30,0.137118,True,7.5,4.403916653524531,2021
AIG,2021-05-04,48.46,47.49,55.73,49.05,1.93,2021-06-17,48.77,Time Exit,30,0.006397,True,7.5,8.017812048959172,2021
AIG,2021-05-05,49.0,48.02,56.35,49.05,2.451,2021-06-18,48.02,Stop Loss,30,-0.02,False,7.5,9.436300519259877,2021
AIG,2021-08-10,53.43,52.36,61.44,53.55,1.936,2021-09-20,52.36,Stop Loss,27,-0.02,False,7.5,-3.491984105862622,2021
AIZ,2021-03-19,143.25,140.38,164.74,142.98,2.655,2021-03-23,140.38,Stop Loss,1,-0.02,False,7.5,3.2374919355859566,2021
AIZ,2021-05-05,159.64,156.45,183.59,157.79,1.844,2021-05-11,156.45,Stop Loss,3,-0.02,False,7.5,10.559672722789347,2021
AIZ,2021-05-21,159.78,156.58,183.75,161.88,2.107,2021-06-17,156.58,Stop Loss,17,-0.02,False,7.5,19.873063566678596,2021
AIZ,2021-06-15,160.7,157.49,184.8,163.45,1.924,2021-06-17,157.49,Stop Loss,1,-0.02,False,7.5,6.1931770962660115,2021
AIZ,2021-08-31,170.7,167.29,196.3,169.36,1.878,2021-09-13,167.29,Stop Loss,7,-0.02,False,7.5,-2.8591448594783575,2021
AJG,2021-09-15,150.07,147.07,172.58,151.16,1.782,2021-09-20,147.07,Stop Loss,2,-0.02,False,7.5,1.263616804584422,2021
AJG,2021-09-17,146.4,143.47,168.36,151.16,2.443,2021-11-01,168.36,Profit Target,30,0.15,True,7.5,1.9016828884500514,2021
AKAM,2021-01-27,120.75,118.33,138.86,119.57,2.835,2021-01-29,118.33,Stop Loss,1,-0.02,False,7.5,11.959242327141517,2021
ALB,2021-01-04,152.67,149.62,175.57,149.91,2.359,2021-01-06,175.57,Profit Target,1,0.15,True,7.5,50.1566714782071,2021
ALB,2021-01-05,165.5,162.19,190.32,152.63,2.061,2021-01-27,162.19,Stop Loss,14,-0.02,False,7.5,62.60792377650488,2021
