ticker,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,pnl,exit_reason,win,rs,sil,year,sma50_slope
AKAM,2025-02-19,2025-02-20,100.34,2025-02-24,77.9,1,-0.22364,Stop Loss,False,10.185157909702314,12,2025,1.3083163132803701
NKE,2024-06-17,2024-06-18,94.67,2024-07-01,75.5,7,-0.202493,Stop Loss,False,-3.7527043077381306,2,2024,0.6348824444240195
IFF,2023-01-31,2023-02-01,112.1,2023-02-10,91.86,6,-0.180553,Stop Loss,False,11.001360882210953,4,2023,3.1048017225193156
DECK,2025-01-16,2025-01-17,210.23,2025-02-03,174.5,9,-0.169957,Stop Loss,False,28.756925612149708,13,2025,4.8307231850517445
ROK,2024-01-29,2024-01-30,303.02,2024-02-01,258.05,1,-0.148406,Stop Loss,False,-2.1344744598223553,6,2024,2.898743250357277
ARES,2023-03-08,2023-03-09,83.29,2023-03-13,72.22,1,-0.132909,Stop Loss,False,18.996783363907976,2,2023,3.2499669881484796
GRMN,2025-10-21,2025-10-22,251.64,2025-10-29,220.67,4,-0.123073,Stop Loss,False,-0.6403498538759766,24,2025,2.011837801873843
GRMN,2025-10-17,2025-10-20,250.01,2025-10-29,220.67,6,-0.117355,Stop Loss,False,1.386428072558643,23,2025,2.0433304784941213
TXT,2024-04-23,2024-04-24,95.72,2024-04-26,84.51,1,-0.117112,Stop Loss,False,8.16068750648804,12,2024,1.672644215226431
KEYS,2023-02-07,2023-02-08,182.02,2023-02-23,160.87,9,-0.116196,Stop Loss,False,1.3636148871496223,1,2023,0.9746043860832202
AXON,2023-05-08,2023-05-09,222.08,2023-05-11,197.84,1,-0.10915,Stop Loss,False,19.06489842626682,4,2023,2.400149454340102
RTX,2023-07-20,2023-07-21,97.2,2023-07-26,86.82,2,-0.10679,Stop Loss,False,-15.240062531122444,10,2023,-0.30055580434202106
FICO,2024-03-12,2024-03-13,1324.23,2024-03-15,1188.1,1,-0.102799,Stop Loss,False,8.132039534653979,11,2024,2.266368464033209
FIS,2023-02-09,2023-02-10,73.53,2023-02-14,66.07,1,-0.101455,Stop Loss,False,11.586164544931577,1,2023,3.2936650150535667
MS,2024-07-30,2024-07-31,103.08,2024-08-05,92.65,2,-0.101184,Stop Loss,False,4.800976033425708,5,2024,1.24754952891928
TGT,2024-07-31,2024-08-01,151.21,2024-08-05,136.0,1,-0.100589,Stop Loss,False,-11.642545309330444,4,2024,-1.513782604658603
HUBB,2024-04-26,2024-04-29,408.38,2024-05-01,367.72,1,-0.099564,Stop Loss,False,14.6718250171753,11,2024,2.171947086884413
STT,2023-07-07,2023-07-10,73.59,2023-07-17,66.28,4,-0.099334,Stop Loss,False,-13.01095324640884,6,2023,-0.7006224885887449
HPQ,2024-11-21,2024-11-22,37.96,2024-11-29,34.25,3,-0.097734,Stop Loss,False,0.5834128790329851,19,2024,1.4446694814510654
EXR,2025-07-29,2025-07-30,152.03,2025-08-01,137.24,1,-0.097283,Stop Loss,False,-10.514964561472162,9,2025,0.22146274820435347
BSX,2023-10-10,2023-10-11,53.56,2023-10-13,48.46,1,-0.09522,Stop Loss,False,6.201022724340799,9,2023,-0.029031725823174717
C,2024-07-30,2024-07-31,65.91,2024-08-02,59.67,1,-0.094675,Stop Loss,False,1.0645006715804373,7,2024,0.6014447590994183
PANW,2025-07-23,2025-07-24,199.0,2025-07-30,180.27,3,-0.094121,Stop Loss,False,-5.394080152313885,16,2025,0.755496381436628
ORCL,2024-12-06,2024-12-09,196.3,2024-12-11,178.0,1,-0.093225,Stop Loss,False,10.155935639036983,13,2024,2.314501591663342
GPN,2024-09-13,2024-09-16,110.84,2024-09-25,100.76,6,-0.090942,Stop Loss,False,14.284655647992416,6,2024,2.7331502291347407
UPS,2024-01-22,2024-01-23,159.03,2024-01-31,144.81,5,-0.089417,Stop Loss,False,-7.839980106115796,7,2024,2.2776842253204648
CVS,2023-08-07,2023-08-08,73.19,2023-08-18,66.8,7,-0.087307,Stop Loss,False,-2.19858269987101,4,2023,1.642628863929691
HCA,2025-02-25,2025-02-26,333.07,2025-02-28,304.0,1,-0.087279,Stop Loss,False,2.3196513211454883,14,2025,-0.21224580751020702
HCA,2024-10-15,2024-10-16,405.0,2024-10-25,370.0,6,-0.08642,Stop Loss,False,13.263660951160517,12,2024,1.9551986464073696
C,2024-07-26,2024-07-29,65.3,2024-08-02,59.67,3,-0.086218,Stop Loss,False,-2.5689589528657963,6,2024,0.8502711433103018
MLM,2023-03-08,2023-03-09,364.71,2023-03-13,333.36,1,-0.085959,Stop Loss,False,0.3645203294250443,4,2023,0.5645624406670733
CVS,2023-08-11,2023-08-14,74.7,2023-08-17,68.3,2,-0.085676,Stop Loss,False,0.5091772635280156,5,2023,1.6185520216418032
DHI,2025-10-03,2025-10-06,175.8,2025-10-08,161.0,1,-0.084187,Stop Loss,False,20.55817752625053,14,2025,3.935680126816752
EXPD,2025-03-25,2025-03-26,118.75,2025-04-04,108.83,6,-0.083537,Stop Loss,False,10.639664848190334,8,2025,1.0055742962092467
FOX,2025-03-25,2025-03-26,51.11,2025-04-04,46.86,6,-0.083154,Stop Loss,False,12.700999791318058,16,2025,1.0203376511464615
ADSK,2024-07-31,2024-08-01,247.09,2024-08-05,226.7,1,-0.082521,Stop Loss,False,7.594095968861669,7,2024,2.2451173469703205
IR,2025-07-23,2025-07-24,86.32,2025-08-01,79.2,5,-0.082484,Stop Loss,False,0.9499000114352008,16,2025,2.441425827091813
EFX,2025-09-26,2025-09-29,255.69,2025-10-02,234.61,2,-0.082444,Stop Loss,False,-8.713571705386657,15,2025,-0.3376650764977962
JKHY,2023-08-07,2023-08-08,170.04,2023-08-17,156.2,6,-0.081393,Stop Loss,False,1.6209447129365229,3,2023,2.4553565019505363
FOXA,2025-03-25,2025-03-26,54.96,2025-04-04,50.55,6,-0.080313,Stop Loss,False,14.598719428046703,11,2025,1.42426952319764
FIX,2024-04-05,2024-04-08,325.0,2024-04-10,298.9,1,-0.080308,Stop Loss,False,50.43034650763292,13,2024,8.93997831079282
ROP,2025-03-25,2025-03-26,579.56,2025-04-07,533.05,7,-0.080251,Stop Loss,False,14.134163482784901,18,2025,2.1159260144679557
CDNS,2024-07-12,2024-07-15,314.57,2024-07-18,289.36,2,-0.080141,Stop Loss,False,-4.398167854190693,10,2024,2.267163582784898
MGM,2024-10-24,2024-10-25,40.56,2024-11-01,37.37,4,-0.078649,Stop Loss,False,0.8634606446927151,9,2024,1.8512718032120419
QCOM,2025-07-21,2025-07-22,158.96,2025-08-01,146.46,7,-0.078636,Stop Loss,False,-7.025412728214331,17,2025,1.680227551594031
KLAC,2025-07-28,2025-07-29,928.59,2025-08-01,856.2,2,-0.077957,Stop Loss,False,22.447164271722354,13,2025,4.833803729408766
CRH,2023-03-30,2023-03-31,50.83,2023-04-06,46.88,3,-0.07771,Stop Loss,False,11.269164227666728,5,2023,2.2040032576346396
WFC,2024-07-30,2024-07-31,59.82,2024-08-02,55.18,1,-0.077566,Stop Loss,False,-5.8895913139733524,8,2024,-0.4717202209297706
BF-B,2023-11-30,2023-12-01,58.63,2023-12-07,54.13,3,-0.076753,Stop Loss,False,-11.101043956332202,5,2023,-1.7354952688698955
PHM,2024-10-14,2024-10-15,143.48,2024-10-23,132.68,5,-0.075272,Stop Loss,False,8.10180934676148,12,2024,1.9184553225130674
CCEP,2025-08-01,2025-08-04,97.13,2025-08-07,89.87,2,-0.074745,Stop Loss,False,-3.9624912868556628,21,2025,2.224903902450803
ESS,2025-07-16,2025-07-17,286.3,2025-07-31,265.05,9,-0.074223,Stop Loss,False,-15.864500651215984,15,2025,0.4306062013065872
MDLZ,2025-07-17,2025-07-18,69.89,2025-07-31,64.74,8,-0.073687,Stop Loss,False,-16.905003238936533,11,2025,0.29175479551286126
BLDR,2024-04-05,2024-04-08,204.86,2024-04-10,189.83,1,-0.073367,Stop Loss,False,13.234439006973787,11,2024,4.059107390422277
ESS,2025-07-29,2025-07-30,284.86,2025-08-01,264.22,1,-0.072457,Stop Loss,False,-12.820481772040516,17,2025,0.21579413803090078
LH,2025-10-14,2025-10-15,278.93,2025-10-29,259.0,9,-0.071452,Stop Loss,False,5.686547580788881,14,2025,1.2605197442134806
NOW,2023-03-08,2023-03-09,88.85,2023-03-13,82.59,1,-0.070414,Stop Loss,False,12.131116824632993,4,2023,1.9377863303020222
MSCI,2025-07-16,2025-07-17,575.0,2025-07-23,534.77,3,-0.069965,Stop Loss,False,-14.227044619868678,14,2025,1.362491920692338
PHM,2023-08-14,2023-08-15,83.96,2023-08-18,78.14,2,-0.069319,Stop Loss,False,12.911612670034224,6,2023,4.518877382640671
QCOM,2025-10-08,2025-10-09,167.37,2025-10-13,155.95,1,-0.068232,Stop Loss,False,1.0598823781301947,18,2025,1.24403580762611
CI,2023-08-07,2023-08-08,290.44,2023-08-18,270.66,7,-0.068104,Stop Loss,False,2.877343807297139,7,2023,2.712829943256491
VZ,2024-07-16,2024-07-17,41.55,2024-07-23,38.74,3,-0.067629,Stop Loss,False,-11.70530094501534,6,2024,0.8714462478968967
UBER,2024-10-29,2024-10-30,79.23,2024-11-01,73.94,1,-0.066768,Stop Loss,False,10.687569995247937,12,2024,2.6001848337309372
BIIB,2024-07-17,2024-07-18,226.0,2024-07-29,210.94,6,-0.066637,Stop Loss,False,6.178767457590406,10,2024,1.831252092248544
DAL,2023-03-03,2023-03-06,38.99,2023-03-13,36.41,4,-0.066171,Stop Loss,False,5.556549949579814,5,2023,2.188143816159185
JCI,2024-04-23,2024-04-24,65.01,2024-05-02,60.72,5,-0.06599,Stop Loss,False,12.11260288043119,6,2024,3.379971312543659
ABBV,2024-03-26,2024-03-27,179.8,2024-04-05,168.0,5,-0.065628,Stop Loss,False,6.476910100705968,5,2024,2.035241483144689
ODFL,2023-03-08,2023-03-09,176.6,2023-03-13,165.01,1,-0.0656,Stop Loss,False,18.48514153281171,4,2023,3.266862403378294
DXCM,2025-07-22,2025-07-23,86.19,2025-08-01,80.57,6,-0.065205,Stop Loss,False,4.577857687147069,16,2025,1.8586922500752632
DASH,2024-12-16,2024-12-17,178.95,2024-12-19,167.3,1,-0.065102,Stop Loss,False,22.148564429982542,7,2024,4.280801510506898
MLM,2023-08-10,2023-08-11,458.21,2023-08-18,428.47,4,-0.064905,Stop Loss,False,5.296355485148663,5,2023,2.3893831558758065
STT,2025-10-14,2025-10-15,116.14,2025-10-17,108.65,1,-0.064491,Stop Loss,False,-0.12002407184428243,18,2025,0.7105258563184339
TPL,2023-09-25,2023-09-26,206.34,2023-10-03,193.03,4,-0.064474,Stop Loss,False,43.77117516169873,9,2023,5.562278329323873
IDXX,2023-05-10,2023-05-11,488.09,2023-05-24,456.66,8,-0.064394,Stop Loss,False,-3.732019254442298,6,2023,-0.1779899156001699
UNH,2024-10-09,2024-10-10,595.18,2024-10-16,557.01,3,-0.064132,Stop Loss,False,-0.4976132975025971,6,2024,0.7220604681507659
HLT,2023-03-08,2023-03-09,148.71,2023-03-13,139.22,1,-0.063816,Stop Loss,False,5.849619076157109,6,2023,1.9584794096126308
IP,2025-02-27,2025-02-28,55.98,2025-03-05,52.43,2,-0.063415,Stop Loss,False,-1.4811972175068466,11,2025,-0.2489801719854398
INTU,2023-03-08,2023-03-09,418.8,2023-03-13,392.41,1,-0.063013,Stop Loss,False,2.7777003814482226,4,2023,0.5607845706441945
MCHP,2023-07-25,2023-07-26,89.31,2023-08-07,83.69,7,-0.062927,Stop Loss,False,14.956206384009763,3,2023,4.030202983372151
FDX,2025-07-23,2025-07-24,237.5,2025-07-31,222.66,4,-0.062484,Stop Loss,False,-2.650718783256334,13,2025,1.5575661348692267
TRGP,2024-07-30,2024-07-31,134.59,2024-08-05,126.19,2,-0.062412,Stop Loss,False,13.430899632136818,15,2024,3.386994432863809
INVH,2024-07-16,2024-07-17,35.76,2024-07-26,33.53,6,-0.06236,Stop Loss,False,-7.3440465821817735,12,2024,0.9023775013079024
CF,2024-04-04,2024-04-05,85.32,2024-04-09,80.0,1,-0.062353,Stop Loss,False,1.681495889767981,3,2024,1.7868737552120186
FER,2024-02-28,2024-02-29,39.53,2024-03-07,37.07,4,-0.062226,Stop Loss,False,10.025654657067506,8,2024,2.531889755912969
TSCO,2025-03-07,2025-03-10,56.98,2025-03-12,53.45,1,-0.061952,Stop Loss,False,5.010000536945691,13,2025,-0.011974281070851538
PAYX,2024-06-17,2024-06-18,124.93,2024-06-27,117.21,5,-0.061795,Stop Loss,False,-1.7646942518686481,7,2024,0.25662902609203125
STLD,2023-10-17,2023-10-18,105.26,2023-10-20,98.77,1,-0.061657,Stop Loss,False,5.843155182326775,5,2023,0.5046124489365218
HST,2023-02-13,2023-02-14,18.38,2023-02-17,17.25,2,-0.06148,Stop Loss,False,-3.4103125160612535,4,2023,0.357400837881196
WST,2025-07-16,2025-07-17,224.54,2025-07-21,210.82,1,-0.061103,Stop Loss,False,-12.486115351108129,15,2025,1.0329359550107071
NRG,2024-10-16,2024-10-17,92.07,2024-10-21,86.45,1,-0.061041,Stop Loss,False,15.460652824585818,12,2024,4.608544553061002
URI,2024-11-21,2024-11-22,849.03,2024-12-10,797.4,10,-0.060811,Stop Loss,False,9.043210354144705,11,2024,3.5671927947108806
PNC,2024-01-29,2024-01-30,153.3,2024-02-02,143.98,2,-0.060796,Stop Loss,False,19.039437726383724,7,2024,4.241522436099874
PANW,2023-07-28,2023-07-31,125.0,2023-08-03,117.4,2,-0.06076,Stop Loss,False,27.855429648863606,4,2023,4.926848865080666
BKR,2023-09-28,2023-09-29,36.54,2023-10-03,34.32,1,-0.060755,Stop Loss,False,18.324917735942247,11,2023,1.082234103770289
C,2023-03-01,2023-03-02,51.18,2023-03-10,48.08,5,-0.060571,Stop Loss,False,12.008614294420239,2,2023,2.1942010100222125
HPQ,2025-09-23,2025-09-24,28.48,2025-09-26,26.76,1,-0.060393,Stop Loss,False,9.297822894826012,20,2025,2.031774584441816
DXCM,2024-02-07,2024-02-08,127.2,2024-02-12,119.53,1,-0.060299,Stop Loss,False,21.5720541104788,11,2024,3.096264133132022
VRTX,2023-11-10,2023-11-13,373.16,2023-11-16,350.72,2,-0.060135,Stop Loss,False,7.41930246759821,12,2023,1.29476486013955
CMCSA,2025-07-23,2025-07-24,33.57,2025-07-28,31.56,1,-0.060022,Stop Loss,False,-9.151340239290583,17,2025,0.487072113186909
FER,2023-06-21,2023-06-22,32.5,2023-06-26,30.55,1,-0.06,Stop Loss,False,8.056021834777539,4,2023,2.3271822534492763
ES,2023-12-21,2023-12-22,61.01,2024-01-10,57.35,10,-0.05999,Stop Loss,False,-4.120929058933198,5,2023,1.599529812030746
ALGN,2025-06-10,2025-06-11,189.51,2025-06-13,178.15,1,-0.059944,Stop Loss,False,4.56169250134475,12,2025,1.6738650138666928
INTU,2024-07-31,2024-08-01,647.0,2024-08-05,608.26,1,-0.059876,Stop Loss,False,-4.625630933575842,14,2024,-0.142558593419074
FDS,2024-12-11,2024-12-12,488.39,2024-12-19,459.15,4,-0.05987,Stop Loss,False,1.4707679887625336,9,2024,1.0569727106948974
TROW,2023-04-28,2023-05-01,112.73,2023-05-03,106.0,1,-0.0597,Stop Loss,False,-12.549450643942672,1,2023,-1.8154837285952112
ASML,2023-07-12,2023-07-13,741.17,2023-07-20,697.0,4,-0.059595,Stop Loss,False,5.679608729715313,4,2023,2.573588349872065
PEG,2024-10-28,2024-10-29,89.5,2024-11-04,84.2,3,-0.059218,Stop Loss,False,4.709110562458796,11,2024,2.45725001014002
SW,2023-06-06,2023-06-07,37.86,2023-06-12,35.62,2,-0.059165,Stop Loss,False,-11.806901235677769,6,2023,1.1155841630220988
DHI,2024-04-05,2024-04-08,158.6,2024-04-11,149.23,2,-0.05908,Stop Loss,False,-6.197219585517111,8,2024,1.0919567903466278
CAH,2023-08-14,2023-08-15,94.25,2023-08-17,88.69,1,-0.058992,Stop Loss,False,1.7951513896184546,4,2023,1.8155886928182459
PWR,2025-01-06,2025-01-07,328.57,2025-01-10,309.31,1,-0.058618,Stop Loss,False,3.5256334225745034,11,2025,0.8379545428114119
LRCX,2024-07-16,2024-07-17,101.92,2024-07-19,95.95,1,-0.05849,Stop Loss,False,9.56522466543095,11,2024,4.049841906524356
WAB,2025-07-22,2025-07-23,213.14,2025-07-25,200.7,1,-0.058365,Stop Loss,False,0.9335537981361552,15,2025,2.4464023961946677
EQR,2024-10-16,2024-10-17,74.53,2024-11-01,70.2,10,-0.058097,Stop Loss,False,-0.9035132351992825,8,2024,0.8311678274736665
ROL,2024-07-19,2024-07-22,49.6,2024-07-26,46.73,3,-0.057863,Stop Loss,False,6.702702408077599,8,2024,1.8016560914177633
ADSK,2025-10-24,2025-10-27,313.35,2025-10-30,295.25,2,-0.057763,Stop Loss,False,-3.5919652511500644,17,2025,0.9518490911600909
AOS,2025-05-27,2025-05-28,68.25,2025-05-30,64.33,1,-0.057436,Stop Loss,False,2.0349930065101773,8,2025,0.5415371334943903
GD,2024-11-06,2024-11-07,308.51,2024-11-15,290.83,5,-0.057308,Stop Loss,False,-3.682204771315245,16,2024,0.3752653431921371
ETN,2023-03-30,2023-03-31,170.24,2023-04-05,160.53,2,-0.057037,Stop Loss,False,1.2704764696125803,3,2023,0.47452934910714517
